Gene names;LFQ intensity BUL_103;LFQ intensity BUL_30;LFQ intensity BUL_40;LFQ intensity BUL_47;LFQ intensity BUL_48;LFQ intensity BUL_5;LFQ intensity BUL_82;LFQ intensity BUL_90;LFQ intensity BUL_91;LFQ intensity MUL_11;LFQ intensity MUL_12;LFQ intensity MUL_22;LFQ intensity MUL_33;LFQ intensity MUL_54;LFQ intensity MUL_61;LFQ intensity MUL_78;LFQ intensity UL_1;LFQ intensity UL_15;LFQ intensity UL_21;LFQ intensity UL_34;LFQ intensity UL_4;LFQ intensity UL_50;LFQ intensity UL_51;LFQ intensity UL_6;Razor + unique peptides;Unique peptides;Q-value;Score;Intensity;MS/MS count;Protein IDs;Majority protein IDs;Protein names;Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
"LUC7L2;C7orf55-LUC7L2";22.22353;21.33936;21.31948;18.37215;21.96455;16.32187;20.24806;21.96437;21.56514;20.44486;20.60666;20.36132;22.05613;20.5467;21.22193;19.87388;19.91198;21.42424;21.20586;22.39561;22.57281;19.2825;18.60222;20.85605;12;9;0;36.067;643070000;76;"Q9Y383;A0A0A6YYC3;Q96HJ9-2;A0A0A6YYJ8;Q9Y383-3;Q9Y383-2;V9GZ75;F8WEU3";"Q9Y383;A0A0A6YYC3;Q96HJ9-2;A0A0A6YYJ8;Q9Y383-3;Q9Y383-2";Putative RNA-binding protein Luc7-like 2;;;;;;;;;;;;
LUM;26.27142;28.24445;24.83359;23.02027;25.46955;24.32279;24.63771;27.04103;26.31157;24.95131;26.27549;24.4755;25.73593;26.61302;23.61279;24.59121;24.3317;24.68875;24.65687;24.39852;24.46905;25.58835;26.44065;26.35451;19;19;0;323.31;11173000000;483;"P51884;CON__Q05443";P51884;Lumican;;;;;;;;;;;;
LXN;21.60914;22.19662;22.23704;20.85171;18.66471;19.87645;19.60393;20.56858;20.44435;21.00922;18.0495;21.01876;21.89545;20.65596;21.20711;22.14077;22.72257;20.92188;18.58162;18.94618;20.77997;19.53655;17.0173;19.93373;3;3;0;30.348;673850000;42;Q9BS40;Q9BS40;Latexin;;;;;;;;;;;;
LYN;23.1885;19.22701;24.445;26.08986;23.73355;23.74827;24.23155;23.00636;22.65895;24.15638;22.65517;23.12786;23.56721;23.19975;21.81921;24.41854;25.37872;24.10446;23.00751;24.5899;22.73591;23.76729;22.9907;23.05533;34;1;0;229.59;6055500000;281;"P07948;E5RJ37";P07948;Tyrosine-protein kinase Lyn;;;;;;;;;;;;
LYPLA1;21.45408;20.41132;22.73409;22.16714;21.40857;21.08395;21.18507;20.78149;20.69744;22.21682;22.11915;23.17081;23.44645;22.22382;24.29018;21.78197;20.88226;21.47556;21.87094;21.52406;21.71963;20.48532;19.71965;20.33898;9;9;0;56.372;1509200000;67;"O75608;O75608-2;A0A087X1K9;E5RGR0;B4DP64;E5RJ48;E5RI35";"O75608;O75608-2;A0A087X1K9;E5RGR0;B4DP64";Acyl-protein thioesterase 1;;;;;;;;;;;;
LYPLA2;21.58998;20.02567;22.82022;20.33396;22.16137;17.22258;22.33019;22.29743;22.32907;22.72567;22.13474;22.89569;23.38588;21.49111;23.62522;22.4026;22.35046;22.41844;21.57649;21.30006;21.2903;17.90709;17.51485;21.39786;10;10;0;74.218;1649900000;68;"O95372;Q5QPQ0;Q5QPQ1;Q5QPQ3;Q5QPQ2;Q5QPN9;Q5QPN5";"O95372;Q5QPQ0;Q5QPQ1;Q5QPQ3;Q5QPQ2";Acyl-protein thioesterase 2;;;;;;;;;;;;
LYZ;22.49045;19.51247;23.12575;28.07592;21.59601;25.65319;24.04343;21.73752;20.22553;22.0469;23.00767;21.24534;21.10412;22.40894;20.14358;24.42477;22.99638;24.70123;23.51304;24.3771;21.06868;23.78417;25.66441;23.54557;12;12;0;289.8;8310600000;118;"P61626;F8VV32;A0A0B4J259";"P61626;F8VV32;A0A0B4J259";"Lysozyme C;Lysozyme";;;;;;;;;;;;
LZTFL1;22.39566;21.02201;21.79642;19.89154;21.01168;17.30688;21.24743;22.10629;22.15069;21.84709;22.44488;20.48395;21.31717;21.73455;21.41952;21.23339;20.37114;21.28811;21.57676;20.5094;21.64891;17.56067;15.9623;21.36453;14;14;0;54.085;674350000;61;"Q9NQ48;Q9NQ48-2;Q9NQ48-3;H7C488;C9J0R9";"Q9NQ48;Q9NQ48-2;Q9NQ48-3;H7C488";Leucine zipper transcription factor-like protein 1;;;;;;;;;;;;
MAGT1;23.5438;19.00695;21.81163;18.98851;22.71341;17.3614;21.02526;22.37311;22.19752;19.48117;19.81309;20.12547;19.93604;22.0443;18.61938;19.78049;20.88256;21.4714;20.1582;22.30666;24.24685;19.16798;17.229;21.59501;10;10;0;25.988;1025200000;55;"Q9H0U3;A0A087WU53;Q9H0U3-2";"Q9H0U3;A0A087WU53;Q9H0U3-2";Magnesium transporter protein 1;;;;;;;;;;;;
MAOB;23.43593;20.4492;22.44309;17.2669;24.98338;20.61773;20.28613;22.07244;21.53886;20.36271;21.08777;21.17341;19.72732;20.59587;20.82974;19.73929;23.28107;21.0625;21.07796;23.12583;24.17851;23.077;17.32914;22.67612;28;26;0;99.643;2078200000;142;"P27338;P27338-2";"P27338;P27338-2";Amine oxidase [flavin-containing] B;;;;;;;;;;;;
MAP1S;21.05801;20.59122;18.91161;18.68688;20.63962;19.08238;20.56626;20.21134;19.94163;19.2869;20.37793;20.618;19.85587;20.06697;21.54929;19.6015;19.40079;21.52353;19.37441;19.94077;21.34093;18.50595;19.10236;20.30557;14;14;0;84.821;411920000;45;"Q66K74;Q66K74-2;M0QXQ9;M0QZ50;M0QY41;M0R1M7;M0R1J2;M0QXE8";"Q66K74;Q66K74-2";"Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain";;;;;;;;;;;;
MAP2K1;20.74657;18.40163;19.80332;20.20275;21.05258;21.07692;19.70416;19.54793;19.96452;20.0458;20.31661;20.19773;20.58325;19.78094;21.60445;19.68056;20.47526;20.95397;19.06009;20.84774;19.96115;18.21423;18.20064;20.05709;10;10;0;27.708;471880000;28;"Q02750;Q02750-2;H3BRW9";"Q02750;Q02750-2";Dual specificity mitogen-activated protein kinase kinase 1;;;;;;;;;;;;
MAP2K2;22.66416;18.74459;22.19599;20.54321;22.97951;21.79193;21.46673;21.00806;22.12616;22.15789;20.34549;22.33704;22.67122;21.95091;23.36292;20.86219;21.64939;21.90654;21.88416;22.49363;22.58321;20.84644;17.31308;21.51244;17;10;0;121.66;1481200000;88;"P36507;G5E9C7;M0R1B6";"P36507;G5E9C7";Dual specificity mitogen-activated protein kinase kinase 2;;;;;;;;;;;;
MAP2K3;20.62836;17.93796;20.36506;20.50125;19.8898;21.94653;20.24876;20.06658;19.42943;20.35907;20.72517;22.24667;21.30112;19.70137;20.72567;18.94207;19.03245;21.47378;18.54541;22.20675;19.44958;20.43878;21.05789;20.03792;11;8;0;65.057;445100000;39;"P46734;P46734-3;P46734-2;J3KRV4;J3QR49;E9PRZ0;K7ELM6";"P46734;P46734-3;P46734-2";Dual specificity mitogen-activated protein kinase kinase 3;;;;;;;;;;;;
MAPK1;23.13388;23.54085;23.63312;22.48942;23.04695;19.17903;23.06075;22.3157;22.69024;22.96035;22.38242;22.43576;22.78973;21.6829;23.66796;22.48898;23.18355;22.45292;24.74914;21.3029;23.55462;21.53312;20.3123;21.33369;19;14;0;163.65;2532500000;157;"P28482;P28482-2";"P28482;P28482-2";Mitogen-activated protein kinase 1;;;;;;;;;;;;
MAPK3;21.54203;22.23228;19.69245;20.66952;21.89667;20.67029;21.3931;22.23102;21.45543;21.12962;17.76698;20.37295;20.88696;20.26121;21.96286;21.13765;22.092;21.02743;23.00777;18.67076;21.91521;18.30466;19.33087;20.60467;11;11;0;61.813;842910000;60;"P27361;P27361-3;E9PQW4;P27361-2;E9PJF0;E9PBK7;B3KR49;H0YEX6;E9PRH7;Q16659;P31152;H0YDH9;K7ELV1;K7EN18";"P27361;P27361-3;E9PQW4;P27361-2;E9PJF0;E9PBK7;B3KR49";"Mitogen-activated protein kinase 3;Mitogen-activated protein kinase";;;;;;;;;;;;
MAPRE1;22.38232;19.53182;21.93859;20.89312;21.94767;22.68987;21.33336;21.57436;21.91455;21.46129;21.03839;21.86007;22.06266;20.93905;21.31551;21.31307;22.03721;22.88807;21.43807;22.11375;22.83312;17.33096;17.84612;21.88666;13;12;0;42.122;1032400000;93;Q15691;Q15691;Microtubule-associated protein RP/EB family member 1;;;;;;;;;;;;
MARCKS;24.40801;26.80956;23.57427;24.10653;23.20113;22.25681;25.28584;23.15448;22.17606;24.14305;24.30703;23.89865;23.65261;22.85234;20.53069;21.16441;23.92868;23.10566;23.75399;24.54893;24.8446;24.75679;23.03604;22.82586;18;18;0;296.46;4962500000;223;"P29966;A0A087WZH7";"P29966;A0A087WZH7";Myristoylated alanine-rich C-kinase substrate;;;;;;;;;;;;
MARCKSL1;23.454;25.44654;23.65981;22.0456;22.45739;21.31113;24.63827;22.69254;22.16088;24.18139;23.37901;21.21419;22.4995;22.898;19.96832;20.48227;23.60919;21.76032;21.95805;23.43619;25.01912;22.57907;21.83071;22.94199;9;9;0;260.74;2746500000;82;P49006;P49006;MARCKS-related protein;;;;;;;;;;;;
MARS;22.33563;20.74181;21.28263;19.45002;21.13396;17.26894;23.44985;22.055;22.0843;19.85954;20.61872;21.82353;21.90522;20.19629;22.66388;20.39005;19.88593;21.72829;22.31476;22.52784;23.28079;16.50073;17.39753;21.4001;26;26;0;144.41;1143500000;78;"P56192;P56192-2;H0YIP0;H0YHV5;F5H2V6;F8VS26;F8W0M7;F8W0S4;F8VZZ9;H0YI94;H0YIC2;F8VPL7;H0YHL6;H0YI27";"P56192;P56192-2";Methionine--tRNA ligase, cytoplasmic;;;;;;;;;;;;
MAT2A;22.41746;23.08886;22.14012;18.87766;21.20311;20.63139;24.58411;22.74166;22.37812;21.11051;22.33361;19.48621;20.66484;20.85377;20.72184;17.9495;21.05577;22.347;22.95504;21.31252;22.66249;20.07887;18.94341;21.39759;20;20;0;76.577;1396000000;124;"P31153;P31153-2;Q00266";"P31153;P31153-2";S-adenosylmethionine synthase isoform type-2;;;;;;;;;;;;
MAT2B;25.72806;26.41989;24.97579;24.21749;24.71413;23.67206;27.4649;26.36219;26.38199;24.5977;25.67742;24.14087;24.56139;24.23103;25.17809;24.4792;24.30362;25.69498;25.94936;25.01035;25.53026;24.82803;17.98294;24.40555;17;17;0;323.31;6225800000;117;"Q9NZL9;Q9NZL9-2;Q9NZL9-4;Q9NZL9-3;H7C0X7;E5RJR3;Q9NZL9-5";"Q9NZL9;Q9NZL9-2;Q9NZL9-4;Q9NZL9-3";Methionine adenosyltransferase 2 subunit beta;;;;;;;;;;;;
MATR3;21.48365;17.27476;21.53407;19.53261;23.4706;18.39729;21.02324;19.40659;21.59892;16.23317;19.55667;20.48119;19.61743;20.88822;20.79559;20.31849;19.70349;21.41013;17.64607;22.91169;23.57369;20.46822;19.0978;24.23907;20;20;0;323.31;983850000;61;"P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991;B3KM87;P43243-2;H0Y8T4;D6R8Z5;D6RCM3;D6REK4;D6RBI2;D6RBK5;D6RE02;D6RIA2;Q68E03;D6RB45;D6R9F3;D6RAM9;D6RAY2;D6RBS2";"P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991";Matrin-3;;;;;;;;;;;;
MDH1;24.6804;26.20053;24.89601;23.85224;24.36813;24.50712;25.69503;25.2666;24.57398;24.99395;25.22177;22.94694;23.77806;24.49528;23.4784;24.07708;25.08034;23.94601;25.7746;23.32169;25.25162;23.34177;22.17716;23.83596;18;18;0;173.63;6995200000;287;"P40925;P40925-3;P40925-2;B9A041;B8ZZ51;C9JF79;C9JRL4;C9JLV6";"P40925;P40925-3;P40925-2;B9A041;B8ZZ51;C9JF79";"Malate dehydrogenase, cytoplasmic;Malate dehydrogenase";;;;;;;;;;;;
MDH2;23.03649;24.15376;23.10444;22.98708;22.79719;24.4921;24.02471;24.79;24.03061;22.07962;23.2764;22.86435;24.4582;21.92296;24.00761;22.41529;20.86128;22.48414;22.86782;23.05369;23.59707;20.80152;21.69345;22.33535;17;17;0;165.03;2828200000;192;"P40926;P40926-2;G3XAL0";"P40926;P40926-2;G3XAL0";"Malate dehydrogenase, mitochondrial;Malate dehydrogenase";;;;;;;;;;;;
METTL7A;25.27863;16.54622;21.29306;17.9311;23.68785;18.81489;22.08161;23.42342;23.35097;21.61207;20.40624;23.71816;20.84705;21.93196;22.92406;22.58854;23.0786;20.32268;20.4706;21.90815;24.12242;20.0308;18.57389;21.69625;9;9;0;231.8;2648000000;116;"Q9H8H3;H0YI09;F8VQX6";"Q9H8H3;H0YI09;F8VQX6";Methyltransferase-like protein 7A;;;;;;;;;;;;
MFGE8;22.57462;21.54604;23.23798;20.66101;22.20347;19.21324;19.71688;22.2154;22.53231;24.27767;20.25338;18.72684;21.52917;23.01151;19.3177;25.38106;26.89169;21.16595;22.08489;21.79372;21.42491;23.11062;23.69008;23.43301;26;7;0;192.54;4548000000;190;"Q08431;F5GZN3;Q08431-2;Q08431-3;A0A087WUV5";"Q08431;F5GZN3;Q08431-2;Q08431-3";"Lactadherin;Lactadherin short form;Medin";;;;;;;;;;;;
MFI2;19.38395;19.63055;20.18507;16.64219;21.8933;18.17794;22.33415;19.49913;19.41831;22.85201;17.401;18.90024;18.43583;19.625;18.32418;21.82342;24.99908;18.31366;19.29833;21.51427;19.61886;20.64588;18.55675;20.8906;36;36;0;125.76;1105300000;101;"P08582;P08582-2;C9JVN1";P08582;Melanotransferrin;;;;;;;;;;;;
MIF;25.22957;26.33173;25.95866;23.87493;24.27775;23.308;25.4876;25.10709;25.24002;24.92769;26.35876;23.41364;24.88874;25.77751;24.7965;26.43153;25.75539;24.8992;24.5771;23.44468;25.60445;24.65545;23.87079;23.86571;5;5;0;75.519;11303000000;180;P14174;P14174;Macrophage migration inhibitory factor;;;;;;;;;;;;
MLEC;25.15939;19.17594;22.75399;19.6179;23.89467;19.78062;22.89304;22.4266;23.31063;19.79997;20.06276;20.15252;19.64953;22.55749;17.78481;21.39305;22.21291;20.92579;20.72209;22.83779;24.17112;21.22964;18.93701;22.20096;16;16;0;131.76;2141300000;150;"Q14165;F5H1S8;H0YG07;F5GX14";"Q14165;F5H1S8;H0YG07";Malectin;;;;;;;;;;;;
MME;23.20626;16.89531;20.06237;26.67115;21.60408;19.66995;25.51431;22.40808;21.02682;21.12899;18.60259;20.3625;18.55352;22.35625;19.90039;18.21243;20.61504;17.84664;21.39571;25.22876;22.32691;23.56802;17.94784;19.29215;36;36;0;259.61;4353200000;128;"P08473;C9JR96;C9J9X7;C9IYX7;C9JDZ3;A0A087WWM7;Q3KQS6";P08473;Neprilysin;;;;;;;;;;;;
MMP7;21.82376;18.48329;24.26978;20.974;22.50055;19.80872;18.58776;23.56721;25.35988;23.44063;23.07974;18.87364;19.94992;20.32882;18.1926;23.95082;24.23345;27.42478;22.30686;19.76416;18.62421;20.40613;20.51586;25.95555;15;14;0;83.603;3530900000;130;P09237;P09237;Matrilysin;;;;;;;;;;;;
MMP9;19.38256;18.20456;21.39812;25.9178;18.72953;26.62296;22.63593;18.82576;18.64831;21.73781;21.50673;22.54564;19.93258;18.47298;18.41134;22.36784;22.35901;20.35649;23.57126;23.65458;18.86939;21.0438;20.045;24.3571;29;29;0;136.41;2595200000;192;P14780;P14780;"Matrix metalloproteinase-9;67 kDa matrix metalloproteinase-9;82 kDa matrix metalloproteinase-9";;;;;;;;;;;;
MNDA;21.40333;19.11718;22.18032;24.54704;21.07496;26.49615;21.78696;19.39952;18.96581;22.13352;21.90991;19.04257;21.72413;17.75551;20.72242;21.61827;18.66772;24.43759;22.28354;24.58761;19.83316;18.61479;20.98224;21.29047;20;20;0;246.69;1370100000;120;"P41218;H0Y6P3";P41218;Myeloid cell nuclear differentiation antigen;;;;;;;;;;;;
"MOB1B;MOB1A";21.85373;19.80335;23.56395;22.09081;22.41736;19.08774;21.38427;20.03778;21.71804;22.56586;17.51863;21.70295;22.49145;21.72426;20.59787;20.87418;22.97255;21.83788;21.22264;21.46264;22.03688;21.7866;20.15746;21.16987;6;6;0;19.688;1305500000;69;"Q7L9L4;Q9H8S9;Q7L9L4-2;D6RCK3;Q9H8S9-2";"Q7L9L4;Q9H8S9;Q7L9L4-2;D6RCK3;Q9H8S9-2";"MOB kinase activator 1B;MOB kinase activator 1A";;;;;;;;;;;;
MOGS;25.30351;18.03899;21.57163;20.73727;24.30626;20.13107;23.33088;23.21353;23.565;19.22362;18.09898;18.0645;19.2375;22.26287;21.27969;21.21632;21.59418;21.39707;21.83024;18.45732;25.19235;18.66505;18.66461;22.48724;30;30;0;99.847;2218600000;121;"Q13724;Q13724-2;C9J8D4;C9JDQ1;B8ZZE2";"Q13724;Q13724-2;C9J8D4";Mannosyl-oligosaccharide glucosidase;;;;;;;;;;;;
MOXD1;22.92343;19.49453;21.67405;17.3167;22.02631;18.34748;24.66807;22.49064;22.35068;22.19153;18.38756;19.87015;19.14415;21.45954;19.18217;19.9549;20.42583;20.93586;18.74103;21.89093;23.28404;19.30144;18.76093;19.12528;17;17;0;85.08;1576500000;66;"Q6UVY6;Q6UVY6-2;A6PVS1";"Q6UVY6;Q6UVY6-2";DBH-like monooxygenase protein 1;;;;;;;;;;;;
MPO;25.35572;21.35466;26.70978;32.94212;25.5854;31.60293;25.3413;23.93121;20.2143;25.12652;27.05517;25.76686;26.34405;26.92388;27.82511;28.62683;27.74208;27.96069;28.66397;28.61555;25.5228;24.30973;29.31588;27.77649;60;45;0;323.31;1.4972E+11;1507;"P05164;P05164-2;P05164-3";"P05164;P05164-2;P05164-3";"Myeloperoxidase;Myeloperoxidase;89 kDa myeloperoxidase;84 kDa myeloperoxidase;Myeloperoxidase light chain;Myeloperoxidase heavy chain";;;;;;;;;;;;
MPP1;20.28906;18.89942;17.95299;18.1804;20.20395;22.39775;22.65334;17.38692;20.16797;21.67319;17.01748;26.39787;24.40204;22.94817;25.29548;21.83692;20.9796;19.74352;19.60545;18.36969;20.78676;22.03745;18.7638;19.66497;27;27;0;323.31;3231300000;154;"Q00013;Q00013-2;Q00013-3;C9J9J4;A8MTH1;C9JB34;A6NFY0;F8WC84;F8WDV6";"Q00013;Q00013-2;Q00013-3;C9J9J4";55 kDa erythrocyte membrane protein;;;;;;;;;;;;
MPP5;22.34873;20.39016;26.03248;21.54402;22.64893;19.08739;23.08241;22.62326;23.08654;26.19338;22.14917;20.6044;22.54125;23.27966;20.16423;23.74129;25.04639;17.35712;20.68825;22.15795;19.6533;23.00835;19.28543;22.94192;38;2;0;323.31;3714500000;167;"Q8N3R9;G3V2B0;P08908";Q8N3R9;MAGUK p55 subfamily member 5;;;;;;;;;;;;
MPST;21.93941;21.75446;22.76211;20.67314;20.89008;21.27042;22.33887;21.89807;21.26493;22.10834;22.80816;21.71305;22.27031;21.16005;21.14215;21.02844;20.77491;19.31976;20.62158;20.78852;21.32158;20.28985;18.93664;20.35896;14;14;0;43.336;869380000;79;"P25325-2;P25325;B1AH49";"P25325-2;P25325;B1AH49";"3-mercaptopyruvate sulfurtransferase;Sulfurtransferase";;;;;;;;;;;;
MRI1;22.7239;20.58857;19.57062;18.38524;21.3483;20.89977;20.5956;20.83461;21.72251;20.85984;19.43911;21.98826;22.44743;19.99203;23.79045;19.34865;19.30146;21.25148;20.25765;19.4531;21.39718;18.07725;18.51284;19.47106;16;16;0;104.14;862480000;65;"Q9BV20;Q9BV20-2";"Q9BV20;Q9BV20-2";Methylthioribose-1-phosphate isomerase;;;;;;;;;;;;
MSLN;24.97386;28.74362;24.7678;19.26908;24.1361;17.87503;23.13574;26.06632;27.70649;24.75903;23.24389;22.29314;23.81264;22.32476;22.04126;25.23041;27.83388;26.12688;24.08489;22.44907;17.70577;27.69604;25.78044;25.02568;31;2;0;304.47;11629000000;362;"Q13421-4;Q13421-3;Q13421-2;H3BMA1;H3BUX1";"Q13421-4;Q13421-3;Q13421-2;H3BMA1;H3BUX1";"Mesothelin;Megakaryocyte-potentiating factor;Mesothelin, cleaved form";;;;;;;;;;;;
MSN;27.59939;26.80021;30.32303;28.16921;28.08233;26.85162;28.46041;27.7506;28.05305;29.66268;27.48285;24.84441;27.29307;28.78659;24.50045;29.14377;30.60382;27.47785;27.96472;27.37956;27.63831;29.57649;27.52028;28.5973;65;53;0;323.31;1.2554E+11;1626;"P26038;E9PNP4";P26038;Moesin;;;;;;;;;;;;
MTAP;20.44395;22.07535;21.88759;22.50857;20.47941;21.50669;22.26951;22.12158;21.37555;22.09394;21.80274;20.41101;21.86952;21.06645;22.68243;21.60064;21.41885;21.19755;20.81472;20.73438;21.54703;19.61792;15.02885;20.44425;14;14;0;32.086;793970000;62;"Q13126;B4DUC8;Q13126-4;Q13126-3;Q13126-2;J3QSB7;Q13126-7;Q13126-6;Q13126-5;F2Z2F3;F8WES2";"Q13126;B4DUC8;Q13126-4;Q13126-3;Q13126-2;J3QSB7;Q13126-7;Q13126-6;Q13126-5";"S-methyl-5-thioadenosine phosphorylase;Purine nucleoside phosphorylase";;;;;;;;;;;;
MT-CO2;23.79184;20.46054;23.33361;17.13293;24.05747;22.53243;21.02945;24.1747;24.67282;19.34705;18.92105;21.66101;21.09107;23.1596;20.05603;21.39801;22.17326;22.61538;22.23301;22.97069;23.82376;22.08206;18.05865;22.57187;7;7;0;103.66;1433800000;73;P00403;P00403;Cytochrome c oxidase subunit 2;;;;;;;;;;;;
MTHFD1;24.75639;24.4393;24.24619;21.17798;24.28136;23.80617;23.97421;23.18129;23.57808;23.42624;24.0035;24.63423;24.7318;23.12477;26.04082;23.04452;23.01942;24.57277;23.10164;24.51569;23.94905;22.01148;18.38196;23.80371;55;55;0;323.31;5978300000;405;"P11586;F5H2F4;V9GYY3;Q6UB35;A0A087WVM4;B7ZM99";"P11586;F5H2F4";"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed";;;;;;;;;;;;
MTOR;20.29547;18.77183;20.82757;17.4786;22.46623;21.63325;23.11537;19.10283;20.95646;18.79074;19.08325;21.14625;18.71371;19.03891;20.33265;20.41617;22.4538;19.24802;18.54166;21.52578;22.73734;18.59523;18.56143;18.02247;49;49;0;109.54;837990000;104;"P42345;B1AKP8;B1AKQ2";P42345;Serine/threonine-protein kinase mTOR;;;;;;;;;;;;
MTPN;22.73527;23.92307;21.18586;21.33085;21.29799;18.19567;22.15233;22.49228;22.13267;20.76943;20.946;21.1359;22.68953;21.34787;21.63423;20.49707;21.87901;21.89896;21.17127;22.39947;22.68149;21.0711;19.35298;21.38132;9;9;0;216.69;1008300000;82;"P58546;C9JL85";"P58546;C9JL85";Myotrophin;;;;;;;;;;;;
MUC1;26.85115;25.097;29.48214;27.19601;27.71404;26.19411;27.67303;26.17015;26.74432;29.53195;27.27195;24.62053;26.7898;27.62031;24.69099;29.32541;28.54422;24.69811;25.48843;27.58999;24.80587;27.11892;26.80107;26.11333;13;1;0;323.31;68179000000;704;"A0A087WWM1;P15941;A0A0C4DGW3;A0A087X2A4;P15941-8;P15941-4;P15941-3;P15941-2;A0A087WVJ0;B1AVQ7;A0A0A0MRB3;A0A0A0MSH4;P15941-6;A0A087X0L2;P15941-15;A6ZIE3;P15941-16;P15941-9;P15941-10;P15941-13;A0A087WZZ6";"A0A087WWM1;P15941;A0A0C4DGW3;A0A087X2A4;P15941-8;P15941-4;P15941-3;P15941-2;A0A087WVJ0;B1AVQ7;A0A0A0MRB3;A0A0A0MSH4;P15941-6;A0A087X0L2;P15941-15;A6ZIE3;P15941-16;P15941-9;P15941-10";"Mucin-1;Mucin-1 subunit alpha;Mucin-1 subunit beta";;;;;;;;;;;;
MUC16;26.03752;22.97733;25.77914;25.70646;26.17965;24.97316;27.51698;25.18692;26.95593;26.21616;26.13733;23.46314;26.68646;26.14729;20.24656;27.53675;28.32839;25.23506;25.36108;25.52892;22.06013;29.6499;26.24882;24.86693;99;28;0;323.31;31693000000;1026;Q8WXI7;Q8WXI7;Mucin-16;;;;;;;;;;;;
MUC4;25.86379;19.18823;25.42159;27.15981;27.26562;22.61955;26.44594;22.98581;26.53156;26.62059;24.88395;22.73589;27.25178;24.92529;23.84709;24.38073;27.1334;21.14985;26.73957;26.80464;17.63382;20.58389;20.65456;24.52343;40;2;0;323.31;20624000000;565;"A0A0G2JQJ2;A0A0G2JSC3;A0A0G2JNL3;A0A0G2JM65;A0A0G2JM16;A0A0G2JRA1;A0A0G2JS65;A0A0G2JSB1;A0A0G2JQC1;A0A0G2JRU8;A0A0G2JQT8;A0A0G2JR97;Q99102-12;A0A0G2JQC6;A0A0G2JQK9;A0A0G2JR43;A0A0G2JQI2;A0A0G2JS19;A0A0G2JRJ6;A0A0G2JRC8;A0A0G2JRE6;A0A0G2JSB4;A0A0G2JSD9;A0A0G2JRS2;A0A0G2JRD8;A0A0G2JRY3";"A0A0G2JQJ2;A0A0G2JSC3;A0A0G2JNL3;A0A0G2JM65;A0A0G2JM16;A0A0G2JRA1;A0A0G2JS65;A0A0G2JSB1;A0A0G2JQC1;A0A0G2JRU8;A0A0G2JQT8;A0A0G2JR97;Q99102-12;A0A0G2JQC6;A0A0G2JQK9";"Mucin-4;Mucin-4 alpha chain;Mucin-4 beta chain";;;;;;;;;;;;
MUC5AC;23.09288;17.50549;27.18839;27.06363;27.12701;23.42201;26.4639;19.87736;18.65934;28.50968;26.75481;20.56588;23.83971;22.96897;19.22341;23.91598;20.11782;22.84357;25.32735;26.78718;19.57158;19.05787;16.42306;17.60646;97;97;0;323.31;16372000000;700;P98088;P98088;Mucin-5AC;;;;;;;;;;;;
MUC5B;29.77338;24.66714;31.25175;32.23092;32.79205;29.94084;30.94949;26.22656;30.25282;32.50569;32.62858;29.08355;30.51343;31.24212;25.90373;33.09196;25.95427;29.01017;30.02022;29.81326;26.37624;25.77733;19.81326;26.6698;141;134;0;323.31;6.5643E+11;4946;"Q9HC84;Q02817;A0A0G2JM87;A0A0G2JR65";Q9HC84;Mucin-5B;;;;;;;;;;;;
MVB12A;20.62747;18.73219;23.24584;19.25716;22.52081;17.66714;20.06092;19.38334;20.30563;24.03616;19.67333;19.38638;21.10502;19.98676;18.87104;23.34773;21.06855;18.42071;19.75727;20.60567;19.14897;20.12641;17.51434;19.15766;11;11;0;139.51;936790000;75;"Q96EY5;E9PQA6;Q96EY5-3;Q96EY5-2;E9PLL0;E9PLZ8;M0QZK6;E9PJW8";"Q96EY5;E9PQA6;Q96EY5-3;Q96EY5-2;E9PLL0;E9PLZ8";Multivesicular body subunit 12A;;;;;;;;;;;;
MVP;25.21189;22.90852;24.50743;27.18073;25.40282;21.98704;25.92635;24.63034;24.44802;24.43962;25.42829;25.56002;24.64752;24.74427;23.04171;26.44577;24.24235;25.4903;25.39496;26.30765;24.07863;23.95189;22.22626;23.95624;59;59;0;323.31;13300000000;576;"Q14764;H3BQK6;H3BRL2;H3BUK7;H3BNF6;H3BP76;H3BPZ2;H3BNF2;H3BUP3;H3BQE7;I3L155";Q14764;Major vault protein;;;;;;;;;;;;
MYADM;22.00069;19.60744;21.89752;21.01216;20.8765;17.47888;21.71963;21.78217;21.67349;21.42137;21.0549;20.52152;20.73124;19.80801;20.67946;18.5806;21.00929;18.62505;19.35524;22.59117;21.43201;23.05479;16.86688;19.18626;2;2;0;76.344;658230000;67;"Q96S97;C9JJV6;C9JZL8;C9J5M0;C9JC07";"Q96S97;C9JJV6;C9JZL8;C9J5M0;C9JC07";Myeloid-associated differentiation marker;;;;;;;;;;;;
